출판사,학년도,학교급명,시도코드,시도명,시도교육청,지역,총판,시도교육청수식,교육첨오코드,교육청명,교육지원청,교육청명가공,교육지원청수식,학교코드,정보공시학교코드,학교명,학교명 수식,학교급,교육과정,교지명,도서코드,교과군,과목명,정가,부수,금액
씨마스,2021,고등학교,2,부산광역시,부산광역시교육청,부산광역시 부산진구,한길도서,부산광역시교육청,203,부산남부,부산광역시남부교육지원청,남부,부산광역시남부교육지원청,27,S020000338,가야고,가야고등학교,고등일반,2015,지도서,13102,과학,과학사,80000,1,80000
씨마스,2021,고등학교,6,대전광역시,대전광역시교육청,대전광역시 동구,중심서적,대전광역시교육청,601,대전동부,대전광역시동부교육지원청,동부,대전광역시동부교육지원청,1,S060001145,가오고,대전가오고등학교,고등일반,2015,교과서,13137,체육,체육,7900,188,1485200
씨마스,2021,고등학교,6,대전광역시,대전광역시교육청,대전광역시 동구,중심서적,대전광역시교육청,601,대전동부,대전광역시동부교육지원청,동부,대전광역시동부교육지원청,1,S060001145,가오고,대전가오고등학교,고등일반,2015,교과서,13599,교양,진로와 직업,8200,190,1558000
씨마스,2021,고등학교,6,대전광역시,대전광역시교육청,대전광역시 동구,중심서적,대전광역시교육청,601,대전동부,대전광역시동부교육지원청,동부,대전광역시동부교육지원청,1,S060001145,가오고,대전가오고등학교,고등일반,2015,지도서,13599,교양,진로와 직업,53000,1,53000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 안성시,에듀뱅크,경기도교육청,821,안성,경기도안성교육지원청,안성,경기도안성교육지원청,5,S090000689,가온고등학교,가온고등학교,고등일반,2015,교과서,76201,교양,심리학,9700,80,776000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 남양주시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,22,S090005898,가운고,가운고등학교,고등일반,2015,교과서,13599,교양,진로와 직업,8200,289,2369800
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 서대문구,신흥도서,서울특별시교육청,102,서울서부,서울특별시서부교육지원청,서부,서울특별시서부교육지원청,37,S010005591,가재울고,가재울고등학교,고등일반,2015,교과서,13272,정보,정보,8600,208,1788800
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 서대문구,신흥도서,서울특별시교육청,102,서울서부,서울특별시서부교육지원청,서부,서울특별시서부교육지원청,37,S010005591,가재울고,가재울고등학교,고등일반,2015,지도서,13272,정보,정보,60000,1,60000
씨마스,2021,고등학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,2,S040000181,가정고,가정고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,86,688000
씨마스,2021,중학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 춘천시,춘천도서,강원특별자치도교육청,901,춘천,강원특별자치도춘천교육지원청,춘천,강원특별자치도춘천교육지원청,25,S100003956,가정중,가정중학교,중학교,2015,교과서,11644,정보,정보,7000,40,280000
씨마스,2021,중학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 춘천시,춘천도서,강원특별자치도교육청,901,춘천,강원특별자치도춘천교육지원청,춘천,강원특별자치도춘천교육지원청,25,S100003956,가정중,가정중학교,중학교,2015,지도서,11644,정보,정보,50000,1,50000
씨마스,2021,고등학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,3,S040001709,가좌고,가좌고등학교,고등일반,2015,교과서,13235,예술(미술),미술 창작,7500,329,2467500
씨마스,2021,고등학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,3,S040001709,가좌고,가좌고등학교,고등일반,2015,지도서,13235,예술(미술),미술 창작,45000,2,90000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 고양시 일산서구,아현교육,경기도교육청,813,고양,경기도고양교육지원청,고양,경기도고양교육지원청,28,S090005380,가좌고,가좌고등학교,고등일반,2015,교과서,13243,예술(미술),미술 감상과 비평,7500,164,1230000
씨마스,2021,고등학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,3,S040001709,가좌고,가좌고등학교,고등일반,2015,교과서,13272,정보,정보,8600,286,2459600
씨마스,2021,중학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,3,S040000795,가좌중,가좌중학교,중학교,2015,교과서,11672,체육,체육 ①/②,12700,121,1536700
씨마스,2021,중학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,3,S040000795,가좌중,가좌중학교,중학교,2015,지도서,11672,체육,체육 ①/②,94500,3,283500
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 가평군,학원서림,경기도교육청,817,가평,경기도가평교육지원청,가평,경기도가평교육지원청,1,S090000877,가평북중,가평북중학교,중학교,2015,교과서,11754,미술,미술 ①,6400,20,128000
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 가평군,학원서림,경기도교육청,817,가평,경기도가평교육지원청,가평,경기도가평교육지원청,1,S090000877,가평북중,가평북중학교,중학교,2015,교과서,11774,미술,미술 ②,6400,23,147200
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,88,862400
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,지도서,13102,과학,과학사,80000,2,160000
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,교과서,13137,체육,체육,7900,122,963800
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,지도서,13137,체육,체육,59000,0,0
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,교과서,13157,체육,운동과 건강,8000,146,1168000
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,지도서,13157,체육,운동과 건강,55000,0,0
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,163,1304000
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 창원시 마산합포구,남도서적,경상남도교육청,1503,창원,경상남도창원교육지원청,창원,경상남도창원교육지원청,33,S160000544,가포고,마산가포고등학교,고등일반,2015,지도서,13165,체육,스포츠 생활,59000,0,0
씨마스,2021,고등학교,15,경상남도,경상남도교육청,경상남도 산청군,이룸도서,경상남도교육청,1517,산청,경상남도산청교육지원청,산청,경상남도산청교육지원청,1,S160003068,간디고,간디고등학교,고등일반,2015,교과서,13022,수학,실용 수학,7500,17,127500
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,교과서,12534,사회(역사/도덕),경제,8700,52,452400
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,지도서,12534,사회(역사/도덕),경제,68000,1,68000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,58,568400
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,지도서,13102,과학,과학사,80000,1,80000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,교과서,13157,체육,운동과 건강,8000,218,1744000
씨마스,2021,고등학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,28,S090006906,갈매고,갈매고등학교,고등일반,2015,지도서,13157,체육,운동과 건강,55000,1,55000
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,42,S090007157,갈매중,갈매중학교,중학교,2015,교과서,11754,미술,미술 ①,6400,17,108800
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 구리시,한강도서,경기도교육청,808,구리남양주,경기도구리남양주교육지원청,구리남양주,경기도구리남양주교육지원청,42,S090007157,갈매중,갈매중학교,중학교,2015,교과서,11774,미술,미술 ②,6400,15,96000
씨마스,2021,고등학교,11,충청남도,충청남도교육청,충청남도 홍성군,홍성)중앙서점,충청남도교육청,1110,홍성,충청남도홍성교육지원청,홍성,충청남도홍성교육지원청,1,S120000123,갈산고등학교,갈산고등학교,고등일반,2015,교과서,13157,체육,운동과 건강,8000,63,504000
씨마스,2021,고등학교,11,충청남도,충청남도교육청,충청남도 홍성군,홍성)중앙서점,충청남도교육청,1110,홍성,충청남도홍성교육지원청,홍성,충청남도홍성교육지원청,1,S120000123,갈산고등학교,갈산고등학교,고등일반,2015,지도서,13157,체육,운동과 건강,55000,1,55000
씨마스,2021,고등학교,11,충청남도,충청남도교육청,충청남도 홍성군,홍성)중앙서점,충청남도교육청,1110,홍성,충청남도홍성교육지원청,홍성,충청남도홍성교육지원청,1,S120000123,갈산고등학교,갈산고등학교,고등일반,2015,지도서,13235,예술(미술),미술 창작,45000,0,0
씨마스,2021,중학교,11,충청남도,충청남도교육청,충청남도 홍성군,홍성)중앙서점,충청남도교육청,1110,홍성,충청남도홍성교육지원청,홍성,충청남도홍성교육지원청,1,S120001195,갈산중학교,갈산중학교,중학교,2015,교과서,11754,미술,미술 ①,6400,25,160000
씨마스,2021,중학교,11,충청남도,충청남도교육청,충청남도 홍성군,홍성)중앙서점,충청남도교육청,1110,홍성,충청남도홍성교육지원청,홍성,충청남도홍성교육지원청,1,S120001195,갈산중학교,갈산중학교,중학교,2015,교과서,11774,미술,미술 ②,6400,25,160000
씨마스,2021,고등학교,11,충청남도,충청남도교육청,충청남도 논산시,이화서점,충청남도교육청,1105,논산계룡,충청남도논산계룡교육지원청,논산계룡,충청남도논산계룡교육지원청,1,S120000124,강경고,강경고등학교,고등일반,2015,교과서,13243,예술(미술),미술 감상과 비평,7500,24,180000
씨마스,2021,중학교,14,경상북도,경상북도교육청,경상북도 영덕군,경북영덕)씨마스,경상북도교육청,1414,영덕,경상북도영덕교육지원청,영덕,경상북도영덕교육지원청,1,S150002474,강구중,강구중학교,중학교,2015,교과서,11913,진로·보건,진로와 직업,7000,50,350000
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13137,체육,체육,7900,200,1580000
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13157,체육,운동과 건강,8000,192,1536000
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,213,1704000
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13235,예술(미술),미술 창작,7500,93,697500
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13272,정보,정보,8600,213,1831800
씨마스,2021,고등학교,13,전라남도,전라남도교육청,전라남도 순천시,순천)중앙서점,전라남도교육청,1303,순천,전라남도순천교육지원청,순천,전라남도순천교육지원청,1,S140000241,강남여고,순천강남여자고등학교,고등일반,2015,교과서,13523,한문,한문Ⅰ,7800,50,390000
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,교과서,13137,체육,체육,7900,191,1508900
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,교과서,13157,체육,운동과 건강,8000,205,1640000
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,195,1560000
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,교과서,13200,예술(미술),미술,7500,190,1425000
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,지도서,13200,예술(미술),미술,45000,1,45000
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 강동구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,2,S010000371,강동고,강동고등학교,고등일반,2015,교과서,13272,정보,정보,8600,190,1634000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,1,S100000354,강릉고,강릉고등학교,고등일반,2015,교과서,12534,사회(역사/도덕),경제,8700,47,408900
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,1,S100000354,강릉고,강릉고등학교,고등일반,2015,교과서,12591,사회(역사/도덕),윤리와 사상,8700,68,591600
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,1,S100000354,강릉고,강릉고등학교,고등일반,2015,교과서,76201,교양,심리학,9700,74,717800
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,46,450800
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,지도서,13102,과학,과학사,80000,2,160000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,교과서,13523,한문,한문Ⅰ,7800,169,1318200
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,지도서,13523,한문,한문Ⅰ,48000,2,96000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,교과서,13599,교양,진로와 직업,8200,160,1312000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,9,S100000356,강릉명륜고,강릉명륜고등학교,고등일반,2015,지도서,13599,교양,진로와 직업,53000,1,53000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,3,S100000360,강릉여고,강릉여자고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,254,2032000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,3,S100000360,강릉여고,강릉여자고등학교,고등일반,2015,지도서,13165,체육,스포츠 생활,59000,1,59000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,3,S100000360,강릉여고,강릉여자고등학교,고등일반,2015,교과서,13200,예술(미술),미술,7500,223,1672500
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,3,S100000360,강릉여고,강릉여자고등학교,고등일반,2015,지도서,13200,예술(미술),미술,45000,1,45000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,4,S100000362,강릉정보공고,강릉정보공업고등학교,고등일반,2015,교과서,13137,체육,체육,7900,100,790000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,4,S100000362,강릉정보공고,강릉정보공업고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,90,720000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,4,S100000362,강릉정보공고,강릉정보공업고등학교,고등일반,2015,교과서,13272,정보,정보,8600,22,189200
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,2,S100000355,강릉중앙고,강릉중앙고등학교,고등전문,2015,교과서,15329,전문공통,성공적인 직업생활,9800,145,1421000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,2,S100000355,강릉중앙고,강릉중앙고등학교,고등전문,2015,교과서,16018,건축⋅토목,공업 일반,9500,22,209000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,2,S100000355,강릉중앙고,강릉중앙고등학교,고등일반,2015,교과서,76201,교양,심리학,9700,190,1843000
씨마스,2021,중학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,1,S100000551,강릉해람중,강릉해람중학교,중학교,2015,교과서,11672,체육,체육 ①/②,12700,246,3124200
씨마스,2021,중학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 강릉시,동아도서,강원특별자치도교육청,903,강릉,강원특별자치도강릉교육지원청,강릉,강원특별자치도강릉교육지원청,1,S100000551,강릉해람중,강릉해람중학교,중학교,2015,지도서,11672,체육,체육 ①/②,94500,2,189000
씨마스,2021,고등학교,3,대구광역시,대구광역시교육청,대구광역시 북구,대본서적,대구광역시교육청,302,대구서부,대구광역시서부교육지원청,서부,대구광역시서부교육지원청,1,S030000243,강북고,강북고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,32,313600
씨마스,2021,고등학교,3,대구광역시,대구광역시교육청,대구광역시 북구,대본서적,대구광역시교육청,302,대구서부,대구광역시서부교육지원청,서부,대구광역시서부교육지원청,1,S030000243,강북고,강북고등학교,고등일반,2015,지도서,13102,과학,과학사,80000,4,320000
씨마스,2021,고등학교,3,대구광역시,대구광역시교육청,대구광역시 북구,대본서적,대구광역시교육청,302,대구서부,대구광역시서부교육지원청,서부,대구광역시서부교육지원청,1,S030000243,강북고,강북고등학교,고등일반,2015,교과서,13165,체육,스포츠 생활,8000,291,2328000
씨마스,2021,고등학교,3,대구광역시,대구광역시교육청,대구광역시 북구,대본서적,대구광역시교육청,302,대구서부,대구광역시서부교육지원청,서부,대구광역시서부교육지원청,1,S030000243,강북고,강북고등학교,고등일반,2015,지도서,13165,체육,스포츠 생활,59000,1,59000
